Source,Target,Weight
Mut,ACACA,1
Mut,PCCA,1
Mut,PC,1
Mut,MCCC1,1
Mut,MCCC2,1
Mut,PCCB,1
Mut,PDCD11,1
Mut,SDHA,1
Mut,ACACB,1
Mut,SNRNP200,1
Mut,MTHFD1L,1
Mut,FASN,1
Mut,SUPT16H,1
Mut,CAD,1
Mut,ACSF2,1
Mut,IARS2,1
Mut,AARS2,1
Mut,GLDC,1
Mut,NAT10,1
Mut,GFM1,1
Mut,GFM2,1
Mut,TBL3,1
Mut,PITRM1,1
Mut,LBR,1
Mut,CLPX,1
Mut,WDR3,1
Mut,PCK2,1
Mut,SUPV3L1,1
Mut,COPA,1
