Mut-hIDR1,SNRNP200,1
Mut-hIDR1,TOP2A,1
Mut-hIDR1,PRPF8,1
Mut-hIDR1,DHX9,1
Mut-hIDR1,DHX9,1
Mut-hIDR1,HNRNPU,1
Mut-hIDR1,PDCD11,1
Mut-hIDR1,MSH6,1
Mut-hIDR1,MYH9,1
Mut-hIDR1,EEF1A1,1
Mut-hIDR1,DDX21,1
Mut-hIDR1,CHD4,1
Mut-hIDR1,RIF1,1
Mut-hIDR1,EFTUD2,1
Mut-hIDR1,COPA,1
Mut-hIDR1,SUPT6H,1
Mut-hIDR1,UTP20,1
Mut-hIDR1,SUPT16H,1
Mut-hIDR1,RSL1D1,1
Mut-hIDR1,MKI67,1
Mut-hIDR1,FASN,1
Mut-hIDR1,GCN1,1
Mut-hIDR1,CAD,1
Mut-hIDR1,SMARCA5,1
Mut-hIDR1,TPR,1
Mut-hIDR1,DNMT1,1
Mut-hIDR1,RANBP2,1
Mut-hIDR1,TRIP12,1
Mut-hIDR1,COPB1,1
Mut-hIDR1,SUPT5H,1
Mut-hIDR1,SF3B3,1
Mut-hIDR1,NAT10,1
Mut-hIDR1,GART,1
Mut-hIDR1,DHX15,1
Mut-hIDR1,URB1,1
Mut-hIDR1,SMC3,1
Mut-hIDR1,MCM5,1
Mut-hIDR1,NUP155,1
Mut-hIDR1,NUP133,1
Mut-hIDR1,SYNCRIP,1
Mut-hIDR1,NUP160,1
Mut-hIDR1,D1PAS1,1
Mut-hIDR1,DDX18,1
Mut-hIDR1,MYH10,1
Mut-hIDR1,RCC2,1
Mut-hIDR1,POLR2A,1
Mut-hIDR1,WDR43,1
Mut-hIDR1,UBTF,1
Mut-hIDR1,SMARCA4,1
Mut-hIDR1,SALL4,1
Mut-hIDR1,RPL3,1
Mut-hIDR1,ANAPC1,1
Mut-hIDR1,UPF1,1
Mut-hIDR1,COPG1,1
Mut-hIDR1,DDX3Y,1
Mut-hIDR1,COPB2,1
Mut-hIDR1,WDR3,1
Mut-hIDR1,GNL3,1
Mut-hIDR1,SSRP1,1
Mut-hIDR1,SAFB,1
Mut-hIDR1,DKC1,1
Mut-hIDR1,TBL3,1
Mut-hIDR1,ATP2A2,1
Mut-hIDR1,SMC2,1
Mut-hIDR1,EIF3B,1
Mut-hIDR1,KIF4,1
Mut-hIDR1,NOP2,1
Mut-hIDR1,BOP1,1
Mut-hIDR1,MOV10,1
Mut-hIDR1,CNOT1,1
Mut-hIDR1,EIF4G1,1
Mut-hIDR1,POLR2B,1
Mut-hIDR1,SMC1A,1
Mut-hIDR1,SUZ12,1
Mut-hIDR1,AHCTF1,1
Mut-hIDR1,TOP1,1
Mut-hIDR1,PDS5A,1
Mut-hIDR1,CTNNB1,1
Mut-hIDR1,CEBPZ,1
Mut-hIDR1,SIN3A,1
Mut-hIDR1,NUP93,1
Mut-hIDR1,TOP2B,1
Mut-hIDR1,BAZ2A,1
Mut-hIDR1,EIF5B,1
Mut-hIDR1,PUM3,1
Mut-hIDR1,HNRNPUL2,1
